scenario,period,model_accuracy,engagement,detection,proxy_sensitivity_actual,proxy_false_positive_actual,expected_override_rate,expected_proxy_rate
proxy_drift_misspecification,12,0.6,0.9,0.75,0.7695652173913043,0.1,0.3010000000000001,0.7026086956521739
proxy_drift_misspecification,13,0.6,0.9,0.75,0.7586956521739131,0.1,0.3010000000000001,0.6928260869565218
proxy_drift_misspecification,14,0.6,0.9,0.75,0.7478260869565218,0.1,0.3010000000000001,0.6830434782608696
proxy_drift_misspecification,15,0.6,0.9,0.75,0.7369565217391305,0.1,0.3010000000000001,0.6732608695652175
proxy_drift_misspecification,16,0.6,0.9,0.75,0.7260869565217392,0.1,0.3010000000000001,0.6634782608695653
proxy_drift_misspecification,17,0.6,0.9,0.75,0.7152173913043478,0.1,0.3010000000000001,0.653695652173913
proxy_drift_misspecification,18,0.6,0.9,0.75,0.7043478260869566,0.1,0.3010000000000001,0.643913043478261
proxy_drift_misspecification,19,0.6,0.9,0.75,0.6934782608695652,0.1,0.3010000000000001,0.6341304347826087
proxy_drift_misspecification,20,0.6,0.9,0.75,0.682608695652174,0.1,0.3010000000000001,0.6243478260869566
proxy_drift_misspecification,21,0.6,0.9,0.75,0.6717391304347826,0.1,0.3010000000000001,0.6145652173913043
proxy_drift_misspecification,22,0.6,0.9,0.75,0.6608695652173913,0.1,0.3010000000000001,0.6047826086956521
proxy_drift_misspecification,23,0.6,0.9,0.75,0.65,0.1,0.3010000000000001,0.5950000000000001
