scenario,cases_per_period,audit_share,estimator,replications,truth,mean_estimate,bias,rmse,empirical_sd,mean_reported_se,coverage_95,mcse_bias,mcse_coverage
stable_negative_control,1000,0.1,delta_p_audit_override,1000,0.0,-7.197982943800357e-05,-7.197982943800357e-05,0.03062437331897009,0.03063961236585298,0.02911570348959473,0.933,0.000968909617007557,0.007906389820898028
stable_negative_control,1000,0.1,delta_e_audit_override,1000,0.0,0.0008121246061116525,0.0008121246061116525,0.09725613415666577,0.09730140619935507,0.09450148159671252,0.937,0.003076940631271896,0.007683163410991592
stable_negative_control,1000,0.1,delta_p_audit_proxy,1000,0.0,-1.4335018087689333e-05,-1.4335018087689333e-05,0.03055017753443903,0.03056546072419459,0.02932235402651257,0.936,0.0009665647362087456,0.007739767438366605
stable_negative_control,1000,0.1,delta_e_audit_proxy,1000,0.0,0.00024562126318934685,0.00024562126318934685,0.02480660971717744,0.024817805691373408,0.024560143892357087,0.947,0.0007848079251222979,0.007084560677981384
stable_negative_control,1000,0.1,delta_override,1000,0.0,0.00019570999999995217,0.00019570999999995217,0.007747832955091337,0.007749236333966015,0.008211479120334193,0.958,0.0002450523694226584,0.006343185319695463
stable_negative_control,1000,0.25,delta_p_audit_override,1000,0.0,0.0002809160586506134,0.0002809160586506134,0.01853618103672492,0.01854332625347393,0.01855716418118535,0.955,0.0005863914635657443,0.00655553201502365
stable_negative_control,1000,0.25,delta_e_audit_override,1000,0.0,0.0017823648718403946,0.0017823648718403946,0.06714354533935496,0.0671534693418463,0.06881886345565404,0.959,0.002123579159025227,0.006270486424512857
stable_negative_control,1000,0.25,delta_p_audit_proxy,1000,0.0,0.00026336480990489535,0.00026336480990489535,0.018550740847345207,0.018558152655699812,0.018578235696529968,0.957,0.00058686031557114,0.006414904519944161
stable_negative_control,1000,0.25,delta_e_audit_proxy,1000,0.0,-0.0012917798221423668,-0.0012917798221423668,0.024533418151385954,0.024511644820649495,0.0245694337527837,0.945,0.0007751262683032186,0.007209368904418752
stable_negative_control,1000,0.25,delta_override,1000,0.0,0.00019084999999995295,0.00019084999999995295,0.008039965242462144,0.008041721623145353,0.008212328629939362,0.954,0.0002543015663816555,0.006624499981130654
stable_negative_control,4000,0.1,delta_p_audit_override,1000,0.0,0.000539059184213156,0.000539059184213156,0.014681706994274025,0.014679148915196167,0.014656160647588354,0.939,0.0004641954468480974,0.007568289106528638
stable_negative_control,4000,0.1,delta_e_audit_override,1000,0.0,0.001919802090043698,0.001919802090043698,0.04709351309140489,0.047077910583311545,0.0471945551749854,0.948,0.0014887342492501063,0.007021111023192843
stable_negative_control,4000,0.1,delta_p_audit_proxy,1000,0.0,0.0005786846767064906,0.0005786846767064906,0.014767689108797189,0.014763730334587687,0.014680452228047158,0.942,0.0004668701461781687,0.007391616873188169
